1,2,Total,Club name,Website
41,20,61,Giffnock North AC,https://www.giffnocknorth.co.uk/
45,34,79,East Kilbride AC,http://www.ekac.org.uk/
37,46,83,Shettleston Harriers,http://shettlestonharriers.org.uk/
63,62,125,Airdrie Harriers,http://airdrieharriers.org/
88,49,137,Law & District AAC,http://www.lawaac.co.uk/
72,83,155,Inverclyde AC,https://www.inverclydeac.org/
118,46,164,North Ayrshire AAC,https://naathletics.co.uk/
58,117,175,Springburn Harriers,https://www.springburnharriers.co.uk/
87,88,175,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
104,76,180,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
103,99,202,VP-Glasgow,
113,97,210,Cambuslang Harriers,https://cambuslangharriers.org/
175,46,221,Larkhall YMCA,https://www.facebook.com/larkhallharriers/
178,46,224,Whitemoss AAC,https://whitemossaac.co.uk/
143,94,237,Kilbarchan AAC,https://kilbarchanaac.org.uk/
