position,Club name,team,gender,finisherPositions,teamPoints,penaltyPoints,totalPoints,totalFinishers,Website
1,Giffnock North AC,7,F,"1,3,8",12,0,12,4,https://www.giffnocknorth.co.uk/
2,Law & District AAC,37,F,"2,13",15,29,44,2,http://www.lawaac.co.uk/
3,Kilmarnock H&AC,2,F,"11,17,18",46,0,46,3,http://www.kilmarnockharriers.com/
4,Springburn Harriers,48,F,"5,14",19,29,48,2,https://www.springburnharriers.co.uk/
5,Inverclyde AC,4,F,4,4,58,62,1,https://www.inverclydeac.org/
6,VP-Glasgow,54,F,6,6,58,64,1,https://www.vp-glasgow.com
7,East Kilbride AC,1,F,7,7,58,65,1,http://www.ekac.org.uk/
8,Shettleston Harriers,10,F,10,10,58,68,1,http://shettlestonharriers.org.uk/
9,Ayr Seaforth AC,14,F,12,12,58,70,1,https://www.ayrseaforth.co.uk/
10,Airdrie Harriers,11,F,15,15,58,73,1,http://airdrieharriers.org/
11,Whitemoss AAC,57,F,16,16,58,74,1,https://whitemossaac.co.uk/
12,Bellahouston Harriers,8,F,19,19,58,77,1,http://www.bellahoustonharriers.co.uk/
