,times
0,0:03:50
1,0:03:55
2,0:03:56
3,0:04:09
4,0:04:10
5,0:04:13
6,0:04:14
7,0:04:15
8,0:04:20
9,0:04:23
10,0:04:24
11,0:04:26
12,0:04:26
13,0:04:28
14,0:04:32
15,0:04:32
16,0:04:32
17,0:04:34
18,0:04:34
19,0:04:34
20,0:04:38
21,0:04:38
22,0:04:38
23,0:04:42
24,0:04:42
25,0:04:44
26,0:04:44
27,0:04:47
28,0:04:48
29,0:04:48
30,0:04:51
31,0:04:51
32,0:04:51
33,0:04:51
34,0:04:51
35,0:04:53
36,0:04:53
37,0:04:53
38,0:04:53
39,0:04:55
40,0:04:59
41,0:05:05
42,0:05:06
43,0:05:09
44,0:05:10
45,0:05:12
46,0:05:15
47,0:05:36
