,times
0,0:04:50
1,0:05:03
2,0:05:12
3,0:05:14
4,0:05:16
5,0:05:19
6,0:05:20
7,0:05:21
8,0:05:25
9,0:05:27
10,0:05:27
11,0:05:27
12,0:05:27
13,0:05:27
14,0:05:30
15,0:05:30
16,0:05:30
17,0:05:30
18,0:05:31
19,0:05:33
20,0:05:35
21,0:05:44
22,0:05:46
23,0:05:47
24,0:05:48
25,0:05:50
26,0:05:50
27,0:05:52
28,0:05:53
29,0:05:55
30,0:05:56
31,0:05:57
32,0:05:58
33,0:06:00
34,0:06:02
35,0:06:02
36,0:06:03
37,0:06:03
38,0:06:03
39,0:06:03
40,0:06:03
41,0:06:05
42,0:06:05
43,0:06:10
44,0:06:10
45,0:06:10
46,0:06:13
47,0:06:14
48,0:06:17
49,0:06:18
50,0:06:18
51,0:06:22
52,0:06:31
53,0:06:33
54,0:06:38
55,0:06:39
56,0:06:41
57,0:06:43
58,0:06:44
59,0:06:45
