1,Total,Club name,Website
18,18,Law & District AAC,http://www.lawaac.co.uk/
27,27,Giffnock North AC,https://www.giffnocknorth.co.uk/
32,32,East Kilbride AC,http://www.ekac.org.uk/
42,42,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
54,54,Airdrie Harriers,http://airdrieharriers.org/
65,65,Motherwell AC,https://motherwellac.com/
85,85,Shettleston Harriers,http://shettlestonharriers.org.uk/
97,97,Cambuslang Harriers,https://cambuslangharriers.org/
111,111,North Ayrshire AAC,https://naathletics.co.uk/
126,126,VP-Glasgow,https://www.vp-glasgow.com
142,142,Springburn Harriers,https://www.springburnharriers.co.uk/
145,145,Whitemoss AAC,https://whitemossaac.co.uk/
147,147,Kilbarchan AAC,https://kilbarchanaac.org.uk/
153,153,Inverclyde AC,https://www.inverclydeac.org/
154,154,Calderglen Harriers,http://www.calderglenharriers.org.uk/
