1,Total,Club name,Website
38,38,Shettleston Harriers,http://shettlestonharriers.org.uk/
77,77,Giffnock North AC,https://www.giffnocknorth.co.uk/
86,86,Cambuslang Harriers,https://cambuslangharriers.org/
95,95,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/
103,103,Westerlands CCC,https://westerlandsccc.co.uk/
143,143,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
150,150,Law & District AAC,http://www.lawaac.co.uk/
169,169,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
206,206,East Kilbride AC,http://www.ekac.org.uk/
207,207,Inverclyde AC,https://www.inverclydeac.org/
243,243,Calderglen Harriers,http://www.calderglenharriers.org.uk/
263,263,Motherwell AC,https://motherwellac.com/
276,276,Glasgow FrontRunners,https://www.glasgowfrontrunners.org/
282,282,Kilbarchan AAC,https://kilbarchanaac.org.uk/
284,284,West End RR,https://www.westendroadrunners.co.uk/
292,292,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
328,328,Troon Tortoises,http://troontortoises.co.uk
355,355,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/
370,370,Springburn Harriers,https://www.springburnharriers.co.uk/
384,384,VP-Glasgow,https://www.vp-glasgow.com
390,390,Helensburgh AAC,https://www.helensburghaac.com/
403,403,Stewartry AC,https://stewartryac.wordpress.com/
411,411,Hamilton Harriers,
418,418,Whitemoss AAC,https://whitemossaac.co.uk/
438,438,Airdrie Harriers,http://airdrieharriers.org/
440,440,North Ayrshire AAC,https://naathletics.co.uk/
