1,Total,Club name,Website
25,25,North Ayrshire AAC,https://naathletics.co.uk/
30,30,Inverclyde AC,https://www.inverclydeac.org/
30,30,Giffnock North AC,https://www.giffnocknorth.co.uk/
43,43,VP-Glasgow,https://www.vp-glasgow.com
47,47,Law & District AAC,http://www.lawaac.co.uk/
82,82,Airdrie Harriers,http://airdrieharriers.org/
84,84,Springburn Harriers,https://www.springburnharriers.co.uk/
88,88,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
91,91,East Kilbride AC,http://www.ekac.org.uk/
92,92,Helensburgh AAC,https://www.helensburghaac.com/
100,100,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
101,101,Kilbarchan AAC,https://kilbarchanaac.org.uk/
104,104,Whitemoss AAC,https://whitemossaac.co.uk/
109,109,Motherwell AC,https://motherwellac.com/
113,113,Calderglen Harriers,http://www.calderglenharriers.org.uk/
