,times
0,0:04:08
1,0:04:09
2,0:04:10
3,0:04:18
4,0:04:20
5,0:04:22
6,0:04:23
7,0:04:24
8,0:04:27
9,0:04:29
10,0:04:29
11,0:04:29
12,0:04:29
13,0:04:34
14,0:04:34
15,0:04:34
16,0:04:34
17,0:04:34
18,0:04:34
19,0:04:34
20,0:04:38
21,0:04:40
22,0:04:40
23,0:04:40
24,0:04:44
25,0:04:44
26,0:04:44
27,0:04:44
28,0:04:46
29,0:04:49
30,0:04:49
31,0:04:49
32,0:04:49
33,0:04:49
34,0:04:49
35,0:04:49
36,0:04:49
37,0:04:52
38,0:04:55
39,0:04:59
40,0:05:00
41,0:05:03
42,0:05:03
43,0:05:07
44,0:05:09
45,0:05:12
46,0:05:16
47,0:05:19
48,0:05:20
49,0:05:26
50,0:05:26
51,0:05:33
52,0:05:36
53,0:05:41
54,0:05:43
55,0:05:48
56,0:05:58
57,0:05:58
