position,Club name,team,gender,finisherPositions,teamPoints,penaltyPoints,totalPoints,totalFinishers,Website
1,Law & District AAC,37,F,"2,3,13",18,0,18,4,http://www.lawaac.co.uk/
2,Giffnock North AC,7,F,"1,12,14",27,0,27,12,https://www.giffnocknorth.co.uk/
3,East Kilbride AC,1,F,"6,9,17",32,0,32,9,http://www.ekac.org.uk/
4,Ayr Seaforth AC,14,F,"11,15,16",42,0,42,3,https://www.ayrseaforth.co.uk/
5,Airdrie Harriers,11,F,"8,18,28",54,0,54,4,http://airdrieharriers.org/
6,Motherwell AC,40,F,"5,24,36",65,0,65,4,https://motherwellac.com/
7,Shettleston Harriers,10,F,"7,20",27,58,85,2,http://shettlestonharriers.org.uk/
8,Cambuslang Harriers,6,F,"4,35",39,58,97,2,https://cambuslangharriers.org/
9,North Ayrshire AAC,44,F,"23,30",53,58,111,2,https://naathletics.co.uk/
10,VP-Glasgow,54,F,10,10,116,126,1,https://www.vp-glasgow.com
11,Springburn Harriers,48,F,26,26,116,142,1,https://www.springburnharriers.co.uk/
12,Whitemoss AAC,57,F,29,29,116,145,1,https://whitemossaac.co.uk/
13,Kilbarchan AAC,34,F,31,31,116,147,1,https://kilbarchanaac.org.uk/
14,Inverclyde AC,4,F,37,37,116,153,1,https://www.inverclydeac.org/
15,Calderglen Harriers,17,F,38,38,116,154,1,http://www.calderglenharriers.org.uk/
