position,Club name,team,gender,finisherPositions,teamPoints,penaltyPoints,totalPoints,totalFinishers,Website
1,Giffnock North AC,7,F,"2,3,5",10,0,10,8,https://www.giffnocknorth.co.uk/
2,North Ayrshire AAC,44,F,"7,15,16",38,0,38,6,https://naathletics.co.uk/
3,Kilmarnock H&AC,2,F,"10,14,20",44,0,44,7,http://www.kilmarnockharriers.com/
4,East Kilbride AC,1,F,"9,17,19",45,0,45,7,http://www.ekac.org.uk/
5,Law & District AAC,37,F,"4,38,49",91,0,91,3,http://www.lawaac.co.uk/
6,Cambuslang Harriers,6,F,"12,27,57",96,0,96,3,https://cambuslangharriers.org/
7,Airdrie Harriers,11,F,"6,47,48",101,0,101,5,http://airdrieharriers.org/
8,Springburn Harriers,48,F,"18,32",50,67,117,2,https://www.springburnharriers.co.uk/
9,Inverclyde AC,4,F,"13,53,54",120,0,120,3,https://www.inverclydeac.org/
10,Shettleston Harriers,10,F,"35,43,50",128,0,128,3,http://shettlestonharriers.org.uk/
11,Larkhall YMCA,36,F,"30,31",61,67,128,2,https://www.larkhallymcaharriers.org
12,Kilbarchan AAC,34,F,1,1,134,135,1,https://kilbarchanaac.org.uk/
13,Helensburgh AAC,32,F,8,8,134,142,1,https://www.helensburghaac.com/
14,VP-Glasgow,54,F,"45,51",96,67,163,2,https://www.vp-glasgow.com
15,Ayr Seaforth AC,14,F,29,29,134,163,1,https://www.ayrseaforth.co.uk/
16,Motherwell AC,40,F,33,33,134,167,1,https://motherwellac.com/
17,Greenock Glenpark Harriers,30,F,40,40,134,174,1,https://greenockglenparkharriers.com/
18,Whitemoss AAC,57,F,46,46,134,180,1,https://whitemossaac.co.uk/
