position,Club name,team,gender,finisherPositions,teamPoints,penaltyPoints,totalPoints,totalFinishers,Website
1,Airdrie Harriers,11,F,"2,5,15",22,0,22,4,http://airdrieharriers.org/
2,Giffnock North AC,7,F,"3,7,16",26,0,26,3,https://www.giffnocknorth.co.uk/
3,Law & District AAC,37,F,"6,8,14",28,0,28,5,http://www.lawaac.co.uk/
4,East Kilbride AC,1,F,"1,12",13,36,49,2,http://www.ekac.org.uk/
5,Kilbarchan AAC,34,F,"4,10",14,36,50,2,https://kilbarchanaac.org.uk/
6,Springburn Harriers,48,F,"9,23",32,36,68,2,https://www.springburnharriers.co.uk/
7,Kilmarnock H&AC,2,F,"18,22",40,36,76,2,http://www.kilmarnockharriers.com/
8,Inverclyde AC,4,F,"19,21",40,36,76,2,https://www.inverclydeac.org/
9,Shettleston Harriers,10,F,11,11,72,83,1,http://shettlestonharriers.org.uk/
10,VP-Glasgow,54,F,13,13,72,85,1,https://www.vp-glasgow.com
11,Ayr Seaforth AC,14,F,20,20,72,92,1,https://www.ayrseaforth.co.uk/
12,Whitemoss AAC,57,F,26,26,72,98,1,https://whitemossaac.co.uk/
