,times
0,0:04:32
1,0:04:37
2,0:04:38
3,0:04:46
4,0:04:49
5,0:04:52
6,0:04:56
7,0:04:57
8,0:04:58
9,0:04:59
10,0:05:08
11,0:05:10
12,0:05:11
13,0:05:18
14,0:05:19
15,0:05:21
16,0:05:24
17,0:05:26
18,0:05:27
19,0:05:28
20,0:05:28
21,0:05:31
22,0:05:31
23,0:05:33
24,0:05:34
25,0:05:34
26,0:05:35
27,0:05:37
28,0:05:39
29,0:05:41
30,0:05:42
31,0:05:44
32,0:05:44
33,0:05:47
34,0:05:47
35,0:05:50
36,0:05:52
37,0:05:52
38,0:05:53
39,0:05:54
40,0:05:57
41,0:06:01
42,0:06:24
43,0:06:36
44,0:07:09
45,0:07:55
