1,Total,Club name,Website
42,42,Cambuslang Harriers,https://cambuslangharriers.org/
80,80,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/
116,116,Law & District AAC,http://www.lawaac.co.uk/
117,117,Inverclyde AC,https://www.inverclydeac.org/
131,131,Springburn Harriers,https://www.springburnharriers.co.uk/
140,140,East Kilbride AC,http://www.ekac.org.uk/
146,146,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
147,147,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
154,154,Giffnock North AC,https://www.giffnocknorth.co.uk/
156,156,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/
167,167,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
174,174,Troon Tortoises,http://troontortoises.co.uk
176,176,Helensburgh AAC,
182,182,Shettleston Harriers,http://shettlestonharriers.org.uk/
189,189,West End RR,https://www.westendroadrunners.co.uk/
194,194,Larkhall YMCA,https://www.larkhallymcaharriers.org
195,195,Whitemoss AAC,https://whitemossaac.co.uk/
196,196,Royal Mail Run GMC,https://www.facebook.com/royalmailrungmc/
200,200,Airdrie Harriers,http://airdrieharriers.org/
201,201,Newton Road Runners,https://www.newton-roadrunners.com/
