1,2,3,Total,Club name,Website
109,38,55,202,Shettleston Harriers,http://shettlestonharriers.org.uk/
156,59,40,255,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
128,40,100,268,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/
132,101,57,290,Cambuslang Harriers,https://cambuslangharriers.org/
88,121,85,294,Law & District AAC,http://www.lawaac.co.uk/
67,148,96,311,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
88,170,132,390,East Kilbride AC,http://www.ekac.org.uk/
163,127,105,395,Inverclyde AC,https://www.inverclydeac.org/
55,216,132,403,Westerlands CCC,https://westerlandsccc.co.uk/
118,155,132,405,Glasgow FrontRunners,https://www.glasgowfrontrunners.org/
200,113,132,445,VP-Glasgow,https://www.vp-glasgow.com
170,186,113,469,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
171,216,103,490,Irvine RC,https://www.irvinerunningclub.co.uk/
200,185,107,492,Calderglen Harriers,http://www.calderglenharriers.org.uk/
150,216,132,498,Newton Road Runners,https://www.newton-roadrunners.com/
200,190,108,498,Giffnock North AC,https://www.giffnocknorth.co.uk/
151,216,132,499,Motherwell AC,https://motherwellac.com/
161,216,132,509,Kilbarchan AAC,https://kilbarchanaac.org.uk/
182,198,132,512,Whitemoss AAC,https://whitemossaac.co.uk/
179,216,132,527,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/
190,216,132,538,West End RR,https://www.westendroadrunners.co.uk/
