1,2,Total,Club name,Website
11,10,21,Giffnock North AC,https://www.giffnocknorth.co.uk/
17,70,87,Airdrie Harriers,http://airdrieharriers.org/
41,62,103,East Kilbride AC,http://www.ekac.org.uk/
40,68,108,Law & District AAC,http://www.lawaac.co.uk/
71,43,114,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
63,65,128,Shettleston Harriers,http://shettlestonharriers.org.uk/
90,59,149,Inverclyde AC,https://www.inverclydeac.org/
75,84,159,North Ayrshire AAC,https://naathletics.co.uk/
123,45,168,Springburn Harriers,https://www.springburnharriers.co.uk/
106,67,173,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
112,71,183,Whitemoss AAC,https://whitemossaac.co.uk/
123,61,184,VP-Glasgow,https://www.vp-glasgow.com
101,84,185,Garscube Harriers,https://www.garscubeharriers.org.uk/
123,74,197,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/
