1,2,3,Total,Club name,Website
19,57,57,133,Cambuslang Harriers,https://cambuslangharriers.org/
54,51,33,138,Law & District AAC,http://www.lawaac.co.uk/
58,48,47,153,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/
58,63,37,158,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/
60,71,63,194,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
69,81,61,211,Troon Tortoises,http://troontortoises.co.uk
117,57,52,226,Calderglen Harriers,http://www.calderglenharriers.org.uk/
90,82,60,232,Airdrie Harriers,http://airdrieharriers.org/
82,87,64,233,East Kilbride AC,http://www.ekac.org.uk/
85,79,70,234,West End RR,https://www.westendroadrunners.co.uk/
79,76,84,239,Helensburgh AAC,https://www.helensburghaac.com/
88,85,84,257,Larkhall YMCA,https://www.larkhallymcaharriers.org
97,93,68,258,Giffnock North AC,https://www.giffnocknorth.co.uk/
117,75,84,276,Garscube Harriers,https://www.garscubeharriers.org.uk/
83,111,84,278,Springburn Harriers,https://www.springburnharriers.co.uk/
102,92,84,278,Inverclyde AC,https://www.inverclydeac.org/
101,94,84,279,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
91,111,84,286,Newton Road Runners,https://www.newton-roadrunners.com/
98,111,84,293,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
117,111,73,301,VP-Glasgow,https://www.vp-glasgow.com
