1,2,Total,Club name,Website
27,14,41,Giffnock North AC,https://www.giffnocknorth.co.uk/
24,28,52,Kilbarchan AAC,https://kilbarchanaac.org.uk/
18,72,90,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
37,69,106,VP-Glasgow,https://www.vp-glasgow.com
60,76,136,East Kilbride AC,http://www.ekac.org.uk/
129,62,191,Shettleston Harriers,http://shettlestonharriers.org.uk/
141,118,259,Inverclyde AC,https://www.inverclydeac.org/
100,168,268,Cambuslang Harriers,https://cambuslangharriers.org/
135,146,281,Calderglen Harriers,http://www.calderglenharriers.org.uk/
146,137,283,Larkhall YMCA,https://www.larkhallymcaharriers.org
186,107,293,Law & District AAC,http://www.lawaac.co.uk/
131,168,299,Whitemoss AAC,https://whitemossaac.co.uk/
204,99,303,Airdrie Harriers,http://airdrieharriers.org/
204,109,313,Helensburgh AAC,https://www.helensburghaac.com/
148,168,316,North Ayrshire AAC,https://naathletics.co.uk/
154,168,322,Springburn Harriers,https://www.springburnharriers.co.uk/
204,136,340,Garscube Harriers,https://www.garscubeharriers.org.uk/
183,168,351,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
204,158,362,Motherwell AC,https://motherwellac.com/
