1,2,Total,Club name,Website
19,13,32,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
51,18,69,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
22,55,77,Shettleston Harriers,http://shettlestonharriers.org.uk/
52,46,98,Law & District AAC,http://www.lawaac.co.uk/
54,66,120,East Kilbride AC,http://www.ekac.org.uk/
80,43,123,Calderglen Harriers,http://www.calderglenharriers.org.uk/
65,66,131,North Ayrshire AAC,https://naathletics.co.uk/
70,66,136,VP-Glasgow,https://www.vp-glasgow.com
71,66,137,Cambuslang Harriers,https://cambuslangharriers.org/
93,47,140,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/
77,66,143,Inverclyde AC,https://www.inverclydeac.org/
93,54,147,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/
82,66,148,Airdrie Harriers,http://airdrieharriers.org/
83,66,149,Larkhall YMCA,https://www.larkhallymcaharriers.org
