position,Club name,team,gender,finisherPositions,teamPoints,penaltyPoints,totalPoints,totalFinishers,Website
1,Ayr Seaforth AC,14,F,"1,3,5,25",34,0,34,4,https://www.ayrseaforth.co.uk/
2,VP-Glasgow,54,F,"11,12,21,24",68,0,68,4,https://www.vp-glasgow.com
3,Cambuslang Harriers,6,F,"2,8",10,74,84,2,https://cambuslangharriers.org/
4,Calderglen Harriers,17,F,"10,18,23",51,37,88,3,http://www.calderglenharriers.org.uk/
5,Garscube Harriers,9,F,"6,16",22,74,96,2,https://www.garscubeharriers.org.uk/
6,Bellahouston Harriers,8,F,"7,22",29,74,103,2,http://www.bellahoustonharriers.co.uk/
7,Kilmarnock H&AC,2,F,"14,17",31,74,105,2,http://www.kilmarnockharriers.com/
8,Bellahouston RR,3,F,"13,19",32,74,106,2,https://www.bellahoustonroadrunners.co.uk/
9,Shettleston Harriers,10,F,4,4,111,115,1,http://shettlestonharriers.org.uk/
10,Motherwell AC,40,F,9,9,111,120,1,https://motherwellac.com/
11,West End RR,56,F,15,15,111,126,1,https://www.westendroadrunners.co.uk/
12,Law & District AAC,37,F,20,20,111,131,1,http://www.lawaac.co.uk/
13,East Kilbride AC,1,F,26,26,111,137,1,http://www.ekac.org.uk/
14,Greenock Glenpark Harriers,30,F,27,27,111,138,1,https://greenockglenparkharriers.com/
