position,times,team,gender,AgeCat,clubnumber,Club name,Website
72,0:35:00,10M,M,U20,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
73,0:35:04,4M,M,U20,4,Inverclyde AC,https://www.inverclydeac.org/
74,0:35:08,3M,M,U20,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
75,0:35:11,37F,F,U20,37,Law & District AAC,http://www.lawaac.co.uk/
76,0:35:18,9M,M,U20,9,Garscube Harriers,https://www.garscubeharriers.org.uk/
77,0:35:22,6F,F,U20,6,Cambuslang Harriers,https://cambuslangharriers.org/
78,0:35:30,30M,M,U20,30,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/
79,0:35:43,40F,F,U20,40,Motherwell AC,https://motherwellac.com/
80,0:35:58,1M,M,U20,1,East Kilbride AC,http://www.ekac.org.uk/
81,0:36:04,48M,M,U20,48,Springburn Harriers,https://www.springburnharriers.co.uk/
82,0:36:10,3M,M,U20,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
83,0:36:12,37M,M,U20,37,Law & District AAC,http://www.lawaac.co.uk/
84,0:36:16,17F,F,U20,17,Calderglen Harriers,http://www.calderglenharriers.org.uk/
85,0:36:19,54F,F,U20,54,VP-Glasgow,https://www.vp-glasgow.com
86,0:36:24,48M,M,U20,48,Springburn Harriers,https://www.springburnharriers.co.uk/
87,0:36:26,56M,M,U20,56,West End RR,https://www.westendroadrunners.co.uk/
88,0:36:31,3M,M,U20,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
89,0:36:34,7M,M,U20,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
90,0:36:34,37M,M,U20,37,Law & District AAC,http://www.lawaac.co.uk/
91,0:36:35,37M,M,U20,37,Law & District AAC,http://www.lawaac.co.uk/
92,0:36:51,57M,M,U20,57,Whitemoss AAC,https://whitemossaac.co.uk/
93,0:36:53,11M,M,U20,11,Airdrie Harriers,http://airdrieharriers.org/
94,0:36:54,3F,F,U20,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
95,0:36:58,2M,M,U20,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
96,0:37:00,8F,F,U20,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/
97,0:37:02,14M,M,U20,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
98,0:37:08,17M,M,U20,17,Calderglen Harriers,http://www.calderglenharriers.org.uk/
99,0:37:10,6F,F,U20,6,Cambuslang Harriers,https://cambuslangharriers.org/
100,0:37:19,56M,M,U20,56,West End RR,https://www.westendroadrunners.co.uk/
101,0:37:26,1M,M,U20,1,East Kilbride AC,http://www.ekac.org.uk/
102,0:37:28,54F,F,U20,54,VP-Glasgow,https://www.vp-glasgow.com
103,0:37:31,57M,M,U20,57,Whitemoss AAC,https://whitemossaac.co.uk/
104,0:37:31,2M,M,U20,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
105,0:37:38,3F,F,U20,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
106,0:37:49,1F,F,U20,1,East Kilbride AC,http://www.ekac.org.uk/
107,0:37:57,2F,F,U20,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
108,0:37:57,56F,F,U20,56,West End RR,https://www.westendroadrunners.co.uk/
109,0:38:03,6F,F,U20,6,Cambuslang Harriers,https://cambuslangharriers.org/
110,0:38:06,9F,F,U20,9,Garscube Harriers,https://www.garscubeharriers.org.uk/
111,0:38:12,1M,M,U20,1,East Kilbride AC,http://www.ekac.org.uk/
112,0:38:16,48M,M,U20,48,Springburn Harriers,https://www.springburnharriers.co.uk/
113,0:38:20,2F,F,U20,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
114,0:38:28,37M,M,U20,37,Law & District AAC,http://www.lawaac.co.uk/
115,0:38:33,48M,M,U20,48,Springburn Harriers,https://www.springburnharriers.co.uk/
116,0:38:38,17F,F,U20,17,Calderglen Harriers,http://www.calderglenharriers.org.uk/
117,0:38:42,37M,M,U20,37,Law & District AAC,http://www.lawaac.co.uk/
118,0:38:46,6F,F,U20,6,Cambuslang Harriers,https://cambuslangharriers.org/
119,0:39:04,3F,F,U20,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
120,0:39:08,17F,F,U20,17,Calderglen Harriers,http://www.calderglenharriers.org.uk/
121,0:39:11,37F,F,U20,37,Law & District AAC,http://www.lawaac.co.uk/
122,0:39:18,6M,M,U20,6,Cambuslang Harriers,https://cambuslangharriers.org/
123,0:39:22,6M,M,U20,6,Cambuslang Harriers,https://cambuslangharriers.org/
124,0:39:28,37M,M,U20,37,Law & District AAC,http://www.lawaac.co.uk/
125,0:39:30,54F,F,U20,54,VP-Glasgow,https://www.vp-glasgow.com
126,0:39:39,8F,F,U20,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/
127,0:39:41,17F,F,U20,17,Calderglen Harriers,http://www.calderglenharriers.org.uk/
128,0:39:44,6M,M,U20,6,Cambuslang Harriers,https://cambuslangharriers.org/
129,0:39:52,30M,M,U20,30,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/
130,0:39:56,30M,M,U20,30,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/
131,0:39:59,14M,M,U20,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
132,0:40:10,9F,F,U20,9,Garscube Harriers,https://www.garscubeharriers.org.uk/
133,0:40:20,54F,F,U20,54,VP-Glasgow,https://www.vp-glasgow.com
134,0:40:25,9M,M,U20,9,Garscube Harriers,https://www.garscubeharriers.org.uk/
135,0:40:55,17M,M,U20,17,Calderglen Harriers,http://www.calderglenharriers.org.uk/
136,0:41:01,8F,F,U20,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/
137,0:41:03,56M,M,U20,56,West End RR,https://www.westendroadrunners.co.uk/
138,0:41:07,56M,M,U20,56,West End RR,https://www.westendroadrunners.co.uk/
139,0:41:12,23M,M,U20,23,Dumfries Running Club,
140,0:41:32,1F,F,U20,1,East Kilbride AC,http://www.ekac.org.uk/
141,0:41:36,56F,F,U20,56,West End RR,https://www.westendroadrunners.co.uk/
142,0:42:08,1F,F,U20,1,East Kilbride AC,http://www.ekac.org.uk/
143,0:42:19,56M,M,U20,56,West End RR,https://www.westendroadrunners.co.uk/
144,0:42:40,14F,F,U20,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
145,0:43:24,1F,F,U20,1,East Kilbride AC,http://www.ekac.org.uk/
146,0:44:06,17M,M,U20,17,Calderglen Harriers,http://www.calderglenharriers.org.uk/
147,0:44:22,56F,F,U20,56,West End RR,https://www.westendroadrunners.co.uk/
148,0:44:25,30F,F,U20,30,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/
149,0:44:45,15F,F,U20,15,Ayrodynamic Triathlon Club,http://www.ayrodynamic.org.uk/
150,0:44:53,8M,M,U20,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/
151,0:47:27,7M,M,U20,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
152,0:48:47,37M,M,U20,37,Law & District AAC,http://www.lawaac.co.uk/
153,0:50:07,22M,M,U20,22,Dumfries Harriers,
154,0:52:38,3M,M,U20,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/
