,times
0,0:05:02
1,0:05:02
2,0:05:08
3,0:05:12
4,0:05:15
5,0:05:20
6,0:05:25
7,0:05:28
8,0:05:29
9,0:05:31
10,0:05:40
11,0:05:41
12,0:05:43
13,0:05:45
14,0:05:46
15,0:05:47
16,0:05:48
17,0:05:48
18,0:05:49
19,0:05:49
20,0:05:50
21,0:05:51
22,0:05:54
23,0:05:59
24,0:06:01
25,0:06:03
26,0:06:04
27,0:06:06
28,0:06:07
29,0:06:07
30,0:06:09
31,0:06:10
32,0:06:11
33,0:06:12
34,0:06:13
35,0:06:14
36,0:06:18
37,0:06:21
38,0:06:28
39,0:06:30
40,0:06:35
41,0:06:39
42,0:06:41
43,0:06:42
44,0:06:46
45,0:06:48
46,0:06:50
47,0:06:55
48,0:07:03
49,0:07:10
50,0:07:12
51,0:07:14
52,0:08:48
