1,3,2,Total,Club name,Website
32,13,16,61,Cambuslang Harriers,https://cambuslangharriers.org/
16,10,37,63,East Kilbride AC,http://www.ekac.org.uk/
42,37,35,114,Law & District AAC,http://www.lawaac.co.uk/
48,62,42,152,Airdrie Harriers,http://airdrieharriers.org/
62,44,59,165,Shettleston Harriers,http://shettlestonharriers.org.uk/
39,75,62,176,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
64,75,43,182,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
81,47,72,200,Garscube Harriers,https://www.garscubeharriers.org.uk/
81,75,51,207,Giffnock North AC,https://www.giffnocknorth.co.uk/
66,75,72,213,Whitemoss AAC,https://whitemossaac.co.uk/
68,75,72,215,Larkhall YMCA,https://www.facebook.com/larkhallharriers/
