1,2,3,Total,Club name,Website
9,13,16,38,Giffnock North AC,https://www.giffnocknorth.co.uk/
58,31,45,134,Cambuslang Harriers,https://cambuslangharriers.org/
77,44,47,168,Garscube Harriers,https://www.garscubeharriers.org.uk/
55,52,71,178,Law & District AAC,http://www.lawaac.co.uk/
57,80,63,200,Inverclyde AC,https://www.inverclydeac.org/
83,52,67,202,Springburn Harriers,https://www.springburnharriers.co.uk/
75,46,82,203,Shettleston Harriers,http://shettlestonharriers.org.uk/
99,50,62,211,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
85,76,81,242,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
101,102,53,256,VP-Glasgow,https://www.vp-glasgow.com
98,91,72,261,Airdrie Harriers,http://airdrieharriers.org/
95,102,69,266,Kilbarchan AAC,https://kilbarchanaac.org.uk/
79,102,93,274,East Kilbride AC,http://www.ekac.org.uk/
103,90,93,286,North Ayrshire AAC,https://naathletics.co.uk/
