1,3,2,Total,Club name,Website
11,23,9,43,Giffnock North AC,https://www.giffnocknorth.co.uk/
42,51,42,135,North Ayrshire AAC,https://naathletics.co.uk/
49,90,39,178,Inverclyde AC,https://www.inverclydeac.org/
54,48,90,192,Airdrie Harriers,http://airdrieharriers.org/
59,99,66,224,Law & District AAC,http://www.lawaac.co.uk/
125,78,66,269,Garscube Harriers,https://www.garscubeharriers.org.uk/
100,97,92,289,Whitemoss AAC,https://whitemossaac.co.uk/
137,12,168,317,VP-Glasgow,https://www.vp-glasgow.com
72,148,122,342,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
157,118,68,343,Springburn Harriers,https://www.springburnharriers.co.uk/
79,99,168,346,Kilbarchan AAC,https://kilbarchanaac.org.uk/
128,85,168,381,Shettleston Harriers,http://shettlestonharriers.org.uk/
130,138,121,389,East Kilbride AC,http://www.ekac.org.uk/
144,138,109,391,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
186,138,113,437,Stewartry AC,https://stewartryac.wordpress.com/
174,138,168,480,Larkhall YMCA,https://www.facebook.com/larkhallharriers/
186,145,168,499,Calderglen Harriers,http://www.calderglenharriers.org.uk/
