1,2,3,Total,Club name,Website
24,62,49,135,Kilbarchan AAC,https://kilbarchanaac.org.uk/
39,31,65,135,East Kilbride AC,http://www.ekac.org.uk/
44,59,46,149,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
32,91,29,152,Giffnock North AC,https://www.giffnocknorth.co.uk/
40,45,89,174,Springburn Harriers,https://www.springburnharriers.co.uk/
74,29,91,194,Cambuslang Harriers,https://cambuslangharriers.org/
65,77,64,206,North Ayrshire AAC,https://naathletics.co.uk/
126,55,48,229,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
75,93,77,245,Law & District AAC,http://www.lawaac.co.uk/
126,111,15,252,Garscube Harriers,https://www.garscubeharriers.org.uk/
90,81,88,259,Shettleston Harriers,http://shettlestonharriers.org.uk/
107,94,102,303,Airdrie Harriers,http://airdrieharriers.org/
106,96,107,309,Larkhall YMCA,https://www.facebook.com/larkhallharriers/
126,84,120,330,Stewartry AC,https://stewartryac.wordpress.com/
126,85,120,331,Inverclyde AC,https://www.inverclydeac.org/
126,97,120,343,VP-Glasgow,https://www.vp-glasgow.com
