1,2,3,Total,Club name,Website
39,21,22,82,East Kilbride AC,http://www.ekac.org.uk/
17,59,21,97,Airdrie Harriers,http://airdrieharriers.org/
20,44,52,116,Giffnock North AC,https://www.giffnocknorth.co.uk/
71,37,40,148,Shettleston Harriers,http://shettlestonharriers.org.uk/
23,52,117,192,Kilbarchan AAC,https://kilbarchanaac.org.uk/
80,75,55,210,North Ayrshire AAC,https://naathletics.co.uk/
65,56,96,217,Law & District AAC,http://www.lawaac.co.uk/
72,75,83,230,Cambuslang Harriers,https://cambuslangharriers.org/
98,75,57,230,VP-Glasgow,https://www.vp-glasgow.com
105,40,94,239,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
106,75,66,247,Garscube Harriers,https://www.garscubeharriers.org.uk/
88,75,88,251,Springburn Harriers,https://www.springburnharriers.co.uk/
120,53,84,257,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
120,75,87,282,Whitemoss AAC,https://whitemossaac.co.uk/
120,58,117,295,Inverclyde AC,https://www.inverclydeac.org/
107,75,117,299,Larkhall YMCA,https://www.facebook.com/larkhallharriers/
